Employee ID,Name,Age,Gender,Department,Position,Salary,Hire Date,Performance Rating,Email,Phone Number,Address
3800,Frank Ballard,63,Male,Finance,Executive,80088,2022-06-26,Average,runderwood@hotmail.com,700-065-6608x078,"904 Shields Spring Apt. 200
West Julia, NV 67291"
7186,Nicole Meyers,28,Male,IT,Manager,86886,2022-12-10,Average,melissathompson@morales-wheeler.com,+1-812-809-6483x112,"626 Simpson Club Apt. 399
Johnside, OR 87464"
4183,Andrew Houston,32,Female,Finance,Analyst,59132,2016-04-16,Poor,douglas45@gutierrez.com,160-216-0114x5445,"60238 Fox Unions Suite 633
Juliaside, IN 61092"
5902,Robert Wood,27,Female,Sales,Assistant,62443,2023-01-05,Excellent,wharris@gibson-haley.info,001-464-890-1871x806,"5527 Torres Glen
Lake Amy, RI 77492"
1486,Donald Chavez,25,Female,IT,Intern,113894,2021-06-02,Excellent,robertshenry@johnson-burns.com,8073133847,"05263 Hale Ridge Suite 725
North Margaretton, MD 00852"
1998,Meredith Hooper,39,Female,Finance,Executive,55807,2022-01-02,Average,pottsjay@smith.com,446-127-3342x9165,"2917 Gordon Stravenue
East Michaelburgh, IA 45120"
1082,Sandra Woodard,32,Female,Finance,Manager,47465,2014-10-03,Average,simspatrick@simon.info,001-132-206-0151x43610,"USNS Richard
FPO AP 56455"
7578,Jennifer Wilson,29,Male,Sales,Intern,107124,2021-06-23,Poor,lauragarcia@williams.com,(294)613-3412x2642,"064 Carter Causeway Apt. 007
Lauriebury, CA 23439"
2274,Bradley Rangel,24,Male,IT,Manager,59539,2015-06-17,Average,marshscott@lewis-armstrong.biz,001-083-336-9525x0150,"561 Jonathan Vista
Reyeschester, NV 68455"
1366,Luis Miranda,65,Female,Operations,Analyst,80003,2015-04-30,Good,greenejason@murphy-lewis.com,001-622-578-0028x3262,"284 Black Hills
West Rebecca, RI 31373"
2227,Amy Hayes,25,Male,HR,Manager,103551,2018-05-23,Good,cassidycarson@gmail.com,1923650376,"64409 Clark Tunnel Suite 318
Port Sharon, NE 70053"
6757,Seth Oliver,34,Female,Finance,Intern,114649,2022-08-06,Good,karenkennedy@rangel-vincent.com,944.920.7327x6555,"1155 Brown Trafficway
West Michaelview, AZ 64657"
4019,Daniel Matthews,34,Male,HR,Analyst,82664,2018-01-25,Good,lauraolsen@johnson.biz,001-889-307-7363x5106,"82608 Jennifer Road
Davidville, IN 35196"
4437,Mary Preston,37,Male,IT,Manager,92644,2015-05-09,Average,iparker@yahoo.com,+1-751-146-9049x0440,"USNS Delgado
FPO AA 57289"
5744,Mariah Hoffman,46,Female,IT,Intern,40703,2023-04-27,Average,edavies@schmidt-hodges.info,800-894-6471x4610,"222 Micheal Ranch
Port Jessica, MA 72413"
5663,Matthew Nolan,43,Female,Operations,Analyst,108834,2020-06-26,Average,sheltonsarah@yahoo.com,+1-173-324-5768x9235,"386 Chen Brooks
Lake Valerie, PA 81877"
2588,Andrew Ramirez,30,Male,Marketing,Executive,102765,2016-05-27,Poor,ethanwright@hotmail.com,001-819-810-9396x95037,"969 Pierce Haven
West Amanda, HI 27228"
9180,John Sanchez,44,Male,IT,Assistant,69792,2022-05-22,Average,betty42@moore.net,434.351.7676x85602,"83280 Christina Motorway
West Cherylmouth, CT 83012"
6261,James Armstrong,30,Female,HR,Assistant,94039,2020-07-03,Average,rachelbailey@wright.com,001-734-586-1934x88844,"539 Baldwin Path
Leefort, CO 92904"
5554,John Rogers,36,Female,Marketing,Analyst,46436,2014-07-07,Poor,ubarrett@gmail.com,001-869-641-8569,"51884 Harris Brooks
East Amy, NY 69929"
3988,Victoria Villanueva,57,Female,Finance,Manager,48148,2016-04-28,Poor,thomas17@hotmail.com,037.142.5753x51272,"PSC 4618, Box 6992
APO AE 35517"
7749,Miranda Cox,56,Male,IT,Intern,71227,2022-12-06,Excellent,mcmillankelly@stewart.com,+1-613-821-4493x786,"03446 Guzman Mews
Osbornehaven, TX 60192"
4282,Luis Moore,37,Female,Finance,Analyst,70449,2019-02-14,Good,jeffreygordon@watson.info,342-594-2940x355,"02258 Jose Fords Apt. 591
Prattborough, NV 60252"
5316,Christine Perez,30,Male,IT,Analyst,48904,2024-02-17,Below Average,zmedina@williams.com,+1-976-377-4679x1669,"524 Harris Fort
Molinaberg, IA 26424"
7859,Suzanne Powell,31,Male,Operations,Intern,44034,2015-05-24,Poor,yelliott@gmail.com,(254)360-6746x2957,"62161 Patricia Cliffs Apt. 498
Castillobury, DC 43433"
2873,Colleen Bell,47,Female,Finance,Manager,112948,2015-06-08,Below Average,wademarcus@wilson.com,0152939840,"2959 Thomas Expressway
Woodsside, IN 45657"
7398,Melanie Barber,56,Female,IT,Manager,69521,2021-08-30,Excellent,ncross@williamson.org,573-494-8668,"USNV Jones
FPO AP 49342"
5884,Steven Maynard,41,Male,Sales,Assistant,81958,2018-07-23,Good,melvinpeters@gmail.com,2783071441,"82354 Luis Prairie
Lindsayburgh, CT 20315"
4706,Natalie Gonzalez,25,Female,HR,Analyst,49305,2023-08-29,Excellent,mary35@hunt.net,669-580-0709x7700,"16089 Brandon Causeway Apt. 937
Keithhaven, AL 18180"
